BoardName;Ticker;AnnualReportDate;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2019;6;6;5;1;0,833333333
ABBOTT LABORATORIES;ABT;01/12/2019;6;3;1;0,5;0,166666667
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;7;6;3;0,857142857;0,428571429
ALCOA CORP;AA;01/12/2019;4;4;4;1;1
ALLSTATE CORP;ALL;01/12/2019;4;4;3;1;0,75
ALPHABET INC (Google Inc prior to 10/2015);GOOG;01/12/2019;3;2;1;0,666666667;0,333333333
ALTAIR ENGINEERING INC;ALTR;01/12/2019;3;2;1;0,666666667;0,333333333
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);MO;01/12/2019;5;3;2;0,6;0,4
AMAZON.COM INC;AMZN;01/12/2019;4;4;4;1;1
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;8;7;8;0,875;1
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;8;8;4;1;0,5
AMERICAN TOWER CORP;AMT;01/12/2019;4;3;4;0,75;1
AMERIGO RESOURCES LTD;ARG;01/12/2019;3;0;0;0;0
AMERIPRISE FINANCIAL INC;AMP;01/12/2019;4;4;3;1;0,75
AMGEN INC;AMG;01/12/2019;8;7;4;0,875;0,5
AMPHENOL CORP;APH;01/12/2019;6;5;4;0,833333333;0,666666667
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2019;6;4;3;0,666666667;0,5
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2019;5;4;5;0,8;1
ARCHER-DANIELS-MIDLAND CO;ADM;01/12/2019;6;4;1;0,666666667;0,166666667
ARENA MINERALS INC (Antofagasta Gold Inc prior to 12/2013) (De-listed 04/2023);AN;01/12/2019;4;3;0;0,75;0
ASSURANT INC;AIZ;01/12/2019;6;4;4;0,666666667;0,666666667
AT&T INC (SBC Communications Inc prior to 11/2005);T;01/12/2019;4;3;2;0,75;0,5
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;6;5;2;0,833333333;0,333333333
