BoardName;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
ALCOA CORP;27638;16347;01387210;AA;31/12/2018;4;4;4;1;1;1,15;0,18;0,04;0,36;0,54;1,59
ABBOTT LABORATORIES;1078;20482;00282410;ABT;31/12/2018;6;3;1;0,5;0,166666667;0,26;0,11;0,07;0,08;0,54;1,19
ARCHER-DANIELS-MIDLAND CO;1722;10516;03948310;ADM;31/12/2018;5;5;1;1;0,2;0,88;0,07;0,09;0,08;0,53;1,15
AMERICAN ELECTRIC POWER CO INC;1440;24109;02553710;AEP;31/12/2018;7;6;7;0,857142857;1;0,71;0,08;0,07;0,06;0,72;2,6
AMERICAN INTERNATIONAL GROUP INC (AIG);1487;66800;02687478;AIG;31/12/2018;6;6;4;1;0,666666667;1,66;0,02;0;0,02;0,88;7,71
ASSURANT INC;157057;90038;04621X10;AIZ;31/12/2018;4;3;4;0,75;1;0,87;0,04;0,06;0,08;0,88;6,66
AKAMAI TECHNOLOGIES INC;125595;87299;00971T10;AKAM;31/12/2018;6;5;1;0,833333333;0,166666667;0,32;0,17;0,09;0,1;0,42;0,71
ALLSTATE CORP;28349;79323;02000210;ALL;31/12/2018;5;5;4;1;0,8;0,72;0,03;0,11;0,11;0,81;4,25
ALTAIR ENGINEERING INC;32530;17034;02136910;ALTR;31/12/2018;4;2;1;0,5;0,25;0,15;0,12;0,09;0,17;0,4;0,67
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;31/12/2018;4;4;3;1;0,75;0,39;0,02;0,36;0,25;0,96;23,56
AMAZON.COM INC;64768;84788;02313510;AMZN;31/12/2018;3;3;3;1;1;0,06;0,17;0,27;0,15;0,73;2,73
AUTONATION INC;9063;76282;05329W10;AN;31/12/2018;4;2;3;0,5;0,75;0,87;0,09;0,15;0,08;0,75;2,93
APA CORP (Apache Corp prior to 03/2021);1678;39490;03741110;APA;31/12/2018;5;3;5;0,6;1;0,76;0,19;0,01;0,1;0,59;1,79
AMPHENOL CORP;14282;84769;03209510;APH;31/12/2018;4;3;2;0,75;0,5;0,18;0,2;0,28;0,22;0,6;1,49
ATI INC (Allegheny Technologies Inc prior to 07/2022);10405;43123;01741R10;ATI;31/12/2018;4;3;1;0,75;0,25;0,69;0,09;0,12;0,11;0,64;1,86
BOEING CO;2285;19561;09702310;BA;31/12/2018;7;6;4;0,857142857;0,571428571;0,01;0,13;4,9;0,93;1;344,98
BANK OF AMERICA CORP;7647;59408;06050510;BAC;31/12/2018;7;7;7;1;1;1,02;0,02;0,12;0,07;0,89;7,87
BAXTER INTERNATIONAL INC;2086;27887;07181310;BAX;31/12/2018;6;5;5;0,833333333;0,833333333;0,24;0,16;0,19;0,15;0,5;1
BIOGEN INC (Biogen Idec Inc prior to 03/2015);24468;76841;09062X10;BIIB;31/12/2018;4;0;3;0;0,75;0,25;0,29;0,32;0,34;0,48;0,94
BANK OF NEW YORK MELLON CORP (THE);2019;49656;06405810;BK;31/12/2018;6;6;3;1;0,5;0,88;0,03;0,11;0,09;0,89;7,92
BLACKROCK INC;124434;87267;09247X10;BLK;31/12/2018;8;4;8;0,5;1;0,58;0,03;0,12;0,15;0,79;3,89
