Company Name;Ticker;Year;TotAsset;TotEquity;EBIT;EBI;GP;TotLiaEquity;TotLia;NI;RD;ROA;ROE;DA;DE;NAISC - Historical;SIC - Historical
ALCOA CORP;AA;2017;17447;4523;1569;2319;2635;17447;10649;217;32;0,012437668;0,047977006;0,610362813;2,354410789;331313;3330
ALCOA CORP;AA;2018;15938;5389;2336;3069;3348;15938;8544;227;31;0,01424269;0,042122843;0,5360773;1,585451846;331313;3330
ALCOA CORP;AA;2019;14631;4112;894;1607;1912;14631;8745;-1125;27;-0,076891532;-0,273589494;0,597703506;2,126702335;331313;3330
ABBOTT LABORATORIES;ABT;2017;76250;30897;3996;7017;17277;76250;45152;477;2235;0,006255738;0,015438392;0,592157377;1,461371654;325412;2834
ABBOTT LABORATORIES;ABT;2018;67173;30524;4284;7562;19201;67173;36451;2368;2300;0,035252259;0,077578299;0,542643622;1,194175075;325412;2834
ABBOTT LABORATORIES;ABT;2019;67887;31088;5041;8055;19955;67887;36586;3687;2440;0,05431084;0,118598816;0,538924978;1,176852805;334510;3845
ARCHER-DANIELS-MIDLAND CO;ADM;2017;39963;18313;1513;2437;4430;39963;21588;1595;129;0,039911919;0,087096598;0,540199685;1,178834708;31122;2070
ARCHER-DANIELS-MIDLAND CO;ADM;2018;40833;18981;2020;2961;5122;40833;21788;1810;141;0,044326892;0,095358516;0,533588029;1,147884727;31122;2070
ARCHER-DANIELS-MIDLAND CO;ADM;2019;43997;19208;1671;2663;5139;43997;24714;1379;154;0,031343046;0,071793003;0,561720117;1,286651395;31122;2070
AMEREN CORP;AEE;2017;25945;7184;1458;2354;2354;25945;18619;523;;0,020158027;0,072800668;0,717633455;2,591731626;2211;4931
AMEREN CORP;AEE;2018;27215;7631;1357;2312;2312;27215;19442;815;;0,029946721;0,106801206;0,714385449;2,547765693;2211;4931
AMEREN CORP;AEE;2019;28933;8059;1267;2262;2262;28933;20732;828;;0,028617841;0,102742276;0,716552034;2,572527609;2211;4931
AMERICAN ELECTRIC POWER CO;AEP;2017;64729,1;18287;3431,2;5428,4;5428,4;64729,1;46403,6;1912,6;;0,029547761;0,104587959;0,716889313;2,537518456;2211;4911
AMERICAN ELECTRIC POWER CO;AEP;2018;68802,8;19028,4;2738,7;5025,3;5025,3;68802,8;49634,6;1923,8;;0,027961071;0,101101511;0,72140378;2,608448424;2211;4911
AMERICAN ELECTRIC POWER CO;AEP;2019;75892,3;19632,2;2592,3;5106,8;5106,8;75892,3;55870,5;1921,1;;0,025313503;0,097854545;0,736181404;2,845860372;2211;4911
AES CORP (THE);AES;2017;33112;2465;2280;3319;3525;33112;27430;-1161;;-0,035062817;-0,470993915;0,82840058;11,12778905;22111;4991
AES CORP (THE);AES;2018;32521;3208;2382;3389;3581;32521;26038;1203;;0,036991482;0,375;0,800651886;8,116583541;22111;4991
AES CORP (THE);AES;2019;33648;2996;2153;3175;3371;33648;27531;303;;0,009004993;0,101134846;0,818206134;9,189252336;22111;4991
AETNA INC;AET;2017;55151;15580;5038;5428;15819;55151;39314;1904;;0,034523399;0,122207959;0,712842922;2,523363286;524114;6324
AFLAC INC;AFL;2017;137217;24598;4346;4396;4396;137217;112619;4604;;0,033552694;0,187169689;0,820736498;4,578380356;524114;6321
AFLAC INC;AFL;2018;140406;23462;4290;4338;4338;140406;116944;2920;;0,020796832;0,124456568;0,832898879;4,984400307;524114;6321
AFLAC INC;AFL;2019;152768;28959;4735;4775;4775;152768;123809;3304;;0,021627566;0,114092337;0,81043805;4,27532028;524114;6321
ALLERGAN PLC;AGN;2017;118341,9;68891,4;-61,5;7307,1;13957,3;118341,9;44504,8;-4125,5;3552,4;-0,034860857;-0,059884107;0,376069676;0,646013871;325412;2834
ALLERGAN PLC;AGN;2018;101787,6;65114,1;358,1;7106,7;13724,6;101787,6;36656,6;-5096,4;3070,8;-0,050068967;-0,078268762;0,360128346;0,562959482;325412;2834
ALLERGAN PLC;AGN;2019;94699,1;58173,6;1516,1;7577,2;13964;94699,1;36502,7;-5271;2248;-0,055660508;-0,090608111;0,385459841;0,627478788;325412;2834
AMERICAN INTERNATIONAL GROUP;AIG;2017;498301;65171;2518;6392;6392;498301;432593;-6084;;-0,012209488;-0,093354406;0,868135926;6,637814365;524126;6331
AMERICAN INTERNATIONAL GROUP;AIG;2018;491984;56361;2225;7587;7587;491984;434675;-6;;-1,21955E-05;-0,000106457;0,883514505;7,712336545;524126;6331
AMERICAN INTERNATIONAL GROUP;AIG;2019;525064;65190;6617;11623;11623;525064;457637;3348;;0,006376366;0,05135757;0,871583274;7,020049087;524126;6331
APARTMENT INVST & MGMT CO;AIV;2017;6079,04;1538,144;202,315;;257,325;6079,04;4321,75;315,774;0;0,051944715;0,205295473;0,710926396;2,809717426;531110;6798
APARTMENT INVST & MGMT CO;AIV;2018;6190,004;1574,419;226,67;;276,716;6190,004;4325,072;666,227;0;0,107629494;0,423157368;0,698718773;2,747090832;531110;6798
APARTMENT INVST & MGMT CO;AIV;2019;6828,739;1780,649;170,531;;236,66;6828,739;4866,164;474,083;0;0,069424677;0,266241691;0,712600672;2,732803601;531110;6798
ASSURANT INC;AIZ;2017;31843;4270,6;514,2;628,9;628,9;31843;27561,5;519,6;;0,016317558;0,121669086;0,865543448;6,453776987;524126;6351
ASSURANT INC;AIZ;2018;41089,3;5109,1;544,5;1486,6;1486,6;41089,3;35955,4;251;;0,006108646;0,049128026;0,875055063;7,037521286;524126;6351
ASSURANT INC;AIZ;2019;44291,2;5649,9;906,3;2151,2;2151,2;44291,2;38609,1;382,6;;0,008638285;0,067718013;0,871710407;6,833589975;524126;6351
AKAMAI TECHNOLOGIES INC;AKAM;2017;4602,844;3310,723;378,076;750,389;1892,519;4602,844;1292,121;218,321;222,434;0,047431762;0,065943602;0,28072231;0,390283633;519130;7370
AKAMAI TECHNOLOGIES INC;AKAM;2018;5461,77;3191,86;455,782;861,699;2053,581;5461,77;2269,91;298,373;246,165;0,05462936;0,093479351;0,415599705;0,711155878;519130;7370
AKAMAI TECHNOLOGIES INC;AKAM;2019;7006,886;3657,958;583,518;989,754;2195,061;7006,886;3348,928;478,035;261,365;0,068223602;0,130683567;0,477948121;0,91551844;519130;7370
ALLSTATE CORP;ALL;2017;112422;20805;3972;4367;4367;112422;89871;3189;;0,028366334;0,153280461;0,799407589;4,319682769;524126;6331
ALLSTATE CORP;ALL;2018;112249;19382;2874;3280;3280;112249;90937;2252;;0,02006254;0,11619028;0,810136393;4,691827469;524126;6331
ALLSTATE CORP;ALL;2019;119950;23750;6671;7129;7129;119950;93952;4847;;0,040408504;0,204084211;0,783259692;3,955873684;524126;6331
ALTAIR ENGINEERING INC;ALTR;2017;287,871;60,591;-35,257;-23,51;237,661;287,871;224,928;-99,407;93,234;-0,345317868;-1,640623195;0,78134998;3,71223449;511210;7372
ALTAIR ENGINEERING INC;ALTR;2018;483,216;286,782;31,444;46,178;293,398;483,216;194,082;13,715;97,592;0,028382752;0,047823783;0,401646469;0,676757956;511210;7372
ALTAIR ENGINEERING INC;ALTR;2019;743,145;354,707;10,245;31,767;337,506;743,145;386,086;-7,542;117,51;-0,01014876;-0,02126262;0,519529836;1,088464564;511210;7372
ALEXION PHARMACEUTICALS INC;ALXN;2017;13583,3;8893,1;988,5;1404,4;3350;13583,3;4690,2;443,3;909,4;0,032635663;0,049847635;0,345291645;0,527397645;325414;2836
ALEXION PHARMACEUTICALS INC;ALXN;2018;13931,9;9165,3;1629,4;2028,4;3841,6;13931,9;4766,6;77,6;1913,4;0,005569951;0,008466717;0,342135674;0,520070265;325414;2836
ALEXION PHARMACEUTICALS INC;ALXN;2019;17544,6;11271,8;2140;2511,8;4658,8;17544,6;6272,8;2404,3;881,9;0,137039317;0,213302223;0,357534512;0,556503841;325414;2836
ADVANCED MICRO DEVICES;AMD;2017;3540;611;152;229;1900;3540;2929;43;1160;0,012146893;0,070376432;0,82740113;4,793780687;334413;3674
ADVANCED MICRO DEVICES;AMD;2018;4556;1266;496;590;2586;4556;3290;337;1434;0,073968393;0,266192733;0,722124671;2,598736177;334413;3674
ADVANCED MICRO DEVICES;AMD;2019;6028;2827;583;725;3010;6028;3201;341;1547;0,056569343;0,120622568;0,531021898;1,13229572;334413;3674
AMGEN INC;AMGN;2017;79954;25241;10497;12452;20881;79954;54713;1979;3962;0,024751732;0,078404184;0,684305976;2,167624104;325414;2836
AMGEN INC;AMGN;2018;66416;12500;10563;12509;21593;66416;53916;8394;4067;0,126385208;0,67152;0,811792339;4,31328;325414;2836
AMGEN INC;AMGN;2019;59707;9673;9721;11756;21041;59707;50034;7842;4116;0,131341384;0,810710224;0,837992195;5,172542128;325414;2836
AMERIPRISE FINANCIAL INC;AMP;2017;147470;5998;2515;2683;5691;147470;141472;1480;;0,01003594;0,246748916;0,959327321;23,58652884;523110;6211
AMERIPRISE FINANCIAL INC;AMP;2018;137216;5588;2759;2935;6062;137216;131628;2098;;0,015289762;0,375447387;0,959275886;23,55547602;523110;6211
AMERIPRISE FINANCIAL INC;AMP;2019;151828;5729;2243;2427;5700;151828;146099;1893;;0,012468056;0,330424158;0,962266512;25,50165823;523110;6211
AMERICAN TOWER CORP;AMT;2017;33214,3;6241,5;2014;3729,9;4366,9;33214,3;25260;1238,9;;0,037300199;0,198493952;0,760515802;4,047104062;531120;6798
AMERICAN TOWER CORP;AMT;2018;33010,4;5336,1;2240,6;4023,9;4757,1;33010,4;26106;1236,4;;0,037454863;0,231704803;0,790841674;4,8923371;531120;6798
