Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
AGILENT TECHNOLOGIES INC;126554;A;31/10/2017;2017;INDL;C;D;STD;USD;8426;176;881;1095;2629;684;4472;A
ALCOA CORP;27638;AA;31/12/2017;2017;INDL;C;D;STD;USD;17447;405;1569;2319;2635;217;11652;A
APPLE INC;1690;AAPL;30/09/2017;2017;INDL;C;D;STD;USD;375319;12451;61344;70744;97586;48351;229234;A
ABBOTT LABORATORIES;1078;ABT;31/12/2017;2017;INDL;C;D;STD;USD;76250;1135;3996;7017;17277;477;27390;A
ACCENTURE PLC;143357;ACN;31/08/2017;2017;INDL;C;D;STD;USD;22689,89;515,92;5142,4;5654,64;11542,73;3445,15;36765,48;A
ADOBE INC;12540;ADBE;30/11/2017;2017;INDL;C;D;STD;USD;14535,56;178,12;2168,1;2478,6;6524,95;1693,95;7301,51;A
ANALOG DEVICES INC;1632;ADI;31/10/2017;2017;INDL;C;D;STD;USD;21141,29;204,1;1534,05;2118,11;3707,02;727,26;5107,5;A
ARCHER-DANIELS-MIDLAND CO;1722;ADM;31/12/2017;2017;INDL;C;D;STD;USD;39963;1049;1513;2437;4430;1595;60828;A
AUTOMATIC DATA PROCESSING;1891;ADP;30/06/2017;2017;INDL;C;D;STD;USD;37180;240,2;2405,9;2722;5426,1;1733,4;12379,8;A
AUTODESK INC;1878;ADSK;31/01/2017;2016;INDL;C;D;STD;USD;4798,1;76;-419,1;-273,8;1802,6;-582,1;2031;A
AMEREN CORP;10860;AEE;31/12/2017;2017;INDL;C;D;STD;USD;25945;2195;1458;2354;2354;523;6177;A
AMERICAN ELECTRIC POWER CO;1440;AEP;31/12/2017;2017;INDL;C;D;STD;USD;64729,1;5799,3;3431,2;5428,4;5428,4;1912,6;15424,9;A
AES CORP (THE);24216;AES;31/12/2017;2017;INDL;C;D;STD;USD;33112;2177;2280;3319;3525;-1161;10530;A
AETNA INC;1177;AET;31/12/2017;2017;INDL;C;D;STD;USD;55151;410;5038;5428;15819;1904;60447;I
AFLAC INC;1449;AFL;31/12/2017;2017;INDL;C;D;STD;USD;137217;0;4346;4396;4396;4604;21700;A
ALLERGAN PLC;27845;AGN;31/12/2017;2017;INDL;C;D;STD;USD;118341,9;349,9;-61,5;7307,1;13957,3;-4125,5;15940,7;I
AMERICAN INTERNATIONAL GROUP;1487;AIG;31/12/2017;2017;INDL;C;D;STD;USD;498301;0;2518;6392;6392;-6084;49004;A
APARTMENT INVST & MGMT CO;30490;AIV;31/12/2017;2017;INDL;C;D;STD;USD;6079,04;0;202,32;;257,33;315,77;1013,77;A
ASSURANT INC;157057;AIZ;31/12/2017;2017;INDL;C;D;STD;USD;31843;62,1;514,2;628,9;628,9;519,6;6415;A
AKAMAI TECHNOLOGIES INC;125595;AKAM;31/12/2017;2017;INDL;C;D;STD;USD;4602,84;414,78;378,08;750,39;1892,52;218,32;2503;A
ALLSTATE CORP;28349;ALL;31/12/2017;2017;INDL;C;D;STD;USD;112422;299;3972;4367;4367;3189;37834;A
ALTAIR ENGINEERING INC;32530;ALTR;31/12/2017;2017;INDL;C;D;STD;USD;287,87;7,52;-35,26;-23,51;237,66;-99,41;337,95;A
ALEXION PHARMACEUTICALS INC;62263;ALXN;31/12/2017;2017;INDL;C;D;STD;USD;13583,3;357,3;988,5;1404,4;3350;443,3;3551,1;I
APPLIED MATERIALS INC;1704;AMAT;31/10/2017;2017;INDL;C;D;STD;USD;19419;345;3871;4278;6919;3434;14537;A
ADVANCED MICRO DEVICES;1161;AMD;31/12/2017;2017;INDL;C;D;STD;USD;3540;113;152;229;1900;43;5329;A
AMGEN INC;1602;AMGN;31/12/2017;2017;INDL;C;D;STD;USD;79954;664;10497;12452;20881;1979;22849;A
AMERIPRISE FINANCIAL INC;164708;AMP;31/12/2017;2017;INDL;C;D;STD;USD;147470;162;2515;2683;5691;1480;12126;A
AMERICAN TOWER CORP;105365;AMT;31/12/2017;2017;INDL;C;D;STD;USD;33214,3;803,6;2014;3729,9;4366,9;1238,9;6663,9;A
AMAZON.COM INC;64768;AMZN;31/12/2017;2017;INDL;C;D;STD;USD;131310;11955;3954;13151;74763;3033;177866;A
AUTONATION INC;9063;AN;31/12/2017;2017;INDL;C;D;STD;USD;10271,5;313,4;767,2;925,8;3359;434,6;21534,6;A
ABERCROMBIE & FITCH  -CL A;63643;ANF;31/01/2017;2016;INDL;C;D;STD;USD;2295,76;140,84;-17,02;178,39;2223,98;3,96;3326,74;A
AON PLC;3221;AON;31/12/2017;2017;INDL;C;D;STD;USD;26088;183;2155;2497;2497;1226;9998;A
APA CORP;1678;APA;31/12/2017;2017;INDL;C;D;STD;USD;21922;2760;668;3324;4022;1304;5752;A
ANADARKO PETROLEUM CORP;11923;APC;31/12/2017;2017;INDL;C;D;STD;USD;42086;5031;-1589;3478;6285;-456;10969;I
AIR PRODUCTS & CHEMICALS INC;1209;APD;30/09/2017;2017;INDL;C;D;STD;USD;18467,2;1039,7;1660,8;2526,6;3300;3000,4;8187,6;A
AMPHENOL CORP;14282;APH;31/12/2017;2017;INDL;C;D;STD;USD;10003,9;226,6;1431,6;1653,2;2531,5;650,5;7011,3;A
ATI INC -NEW;10405;ATI;31/12/2017;2017;INDL;C;D;STD;USD;5185,4;122,7;194,7;339,9;594,2;-91,9;3525,1;A
AVALONBAY COMMUNITIES INC;29875;AVB;31/12/2017;2017;INDL;C;D;STD;USD;18414,82;8,81;853,65;;907,06;876,92;2225,88;A
AVON PRODUCTS;1920;AVP;31/12/2017;2017;INDL;C;D;STD;USD;3697,9;97,3;352,3;464,2;3626,7;22;5715,6;A
AVERY DENNISON CORP;1913;AVY;31/12/2017;2017;INDL;C;D;STD;USD;5136,9;190,5;689;863,5;1986,7;281,8;6613,8;A
AMERICAN EXPRESS CO;1447;AXP;31/12/2017;2017;INDL;C;D;STD;USD;181159;1063;8297;9618;9618;2736;35583;A
AUTOZONE INC;23809;AZO;31/08/2017;2017;INDL;C;D;STD;USD;9259,78;553,83;2080,07;2403,12;6062,67;1280,87;10888,68;A
BOEING CO;2285;BA;31/12/2017;2017;INDL;C;D;STD;USD;92333;1739;10123;11911;19184;8197;93392;A
BANK OF AMERICA CORP;7647;BAC;31/12/2017;2017;INDL;C;D;STD;USD;2281234;0;44663;46766;84109;18232;100417;A
BAXTER INTERNATIONAL INC;2086;BAX;31/12/2017;2017;INDL;C;D;STD;USD;17111;634;1532;2275;5316;717;10561;A
BEST BUY CO INC;2184;BBY;31/01/2017;2016;INDL;C;D;STD;USD;13856;582;1733;2387;9911;1228;39403;A
BECTON DICKINSON & CO;2111;BDX;30/09/2017;2017;INDL;C;D;STD;USD;37734;726;2243;3182;6881;1100;12093;A
BEAM THERAPEUTICS INC;35714;BEAM;31/12/2017;2017;INDL;C;D;STD;USD;2,4;0,35;-7,88;-7,87;0;-8;0;A
FRANKLIN RESOURCES INC;4885;BEN;30/09/2017;2017;INDL;C;D;STD;USD;17534;74,9;2250,5;2335,9;2335,9;1696,7;6392,2;A
BROWN FORMAN CORP;2435;BF.B;30/04/2017;2016;INDL;C;D;STD;USD;4625;115;971;1029;2079;669;2994;A
BIG LOTS INC;12123;BIG;31/01/2017;2016;INDL;C;D;STD;USD;1607,71;89,78;277,02;397,46;2099,42;152,83;5200,44;A
BIOGEN INC;24468;BIIB;31/12/2017;2017;INDL;C;D;STD;USD;23652,6;867,4;5709;6638,8;10809,4;2539,1;12273,9;A
BANK OF NEW YORK MELLON CORP;2019;BK;31/12/2017;2017;INDL;C;D;STD;USD;371758;1197;7311;8785;15567;4090;16617;A
BLACKROCK INC;124434;BLK;31/12/2017;2017;INDL;C;D;STD;USD;220217;155;5294;5515;5515;4970;12491;A
BEMIS CO INC;2154;BMS;31/12/2017;2017;INDL;C;D;STD;USD;3699,9;188,5;361,9;531,7;955;94;4046,2;I
BRISTOL-MYERS SQUIBB CO;2403;BMY;31/12/2017;2017;INDL;C;D;STD;USD;33551;1055;4220;5092;15731;1007;20776;A
BERKSHIRE HATHAWAY;2176;BRK.B;31/12/2017;2017;INDL;C;D;STD;USD;702095;11708;26294;35482;35482;44940;242137;A
BOSTON SCIENTIFIC CORP;25279;BSX;31/12/2017;2017;INDL;C;D;STD;USD;19042;319;1693;2530;6734;104;9048;A
PEABODY ENERGY CORP;142460;BTU;31/12/2017;2017;INDL;C;D;STD;USD;8181,2;199,4;648,8;1346,1;1488,7;466,5;5550,8;A
BORGWARNER INC;28742;BWA;31/12/2017;2017;INDL;C;D;STD;USD;9787,6;560;1221,6;1629,4;2527,9;439,9;9799,3;A
BOSTON PROPERTIES INC;64925;BXP;31/12/2017;2017;INDL;C;D;STD;USD;19372,23;0;928,8;;1043,19;462,44;2622,77;A
CITIGROUP INC;3243;C;31/12/2017;2017;INDL;C;D;STD;USD;1842465;3361;32433;36092;36092;-6798;87367;A
CONAGRA BRANDS INC;3362;CAG;31/05/2017;2016;INDL;C;D;STD;USD;10096,3;242,1;1234,5;1502,5;2627,8;639,3;7826,9;A
CARDINAL HEALTH INC;2751;CAH;30/06/2017;2017;INDL;C;D;STD;USD;40112;387;2362;3071;6846;1288;129976;A
CATERPILLAR INC;2817;CAT;31/12/2017;2017;INDL;C;D;STD;USD;76962;2336;6521;9399;16481;754;45462;A
CHUBB LTD;28034;CB;31/12/2017;2017;INDL;C;D;STD;USD;167022;0;4168;;4168;3861;32207;A
CROWN CASTLE INC;113490;CCI;31/12/2017;2017;INDL;C;D;STD;USD;32229,57;1228,07;1122,8;2383,58;2810,28;444,55;4355,61;A
CARNIVAL CORPORATION & PLC;13498;CCL;30/11/2017;2017;INDL;C;D;STD;USD;40778;2944;2901;4747;7009;2606;17510;A
CELGENE CORP;13599;CELG;31/12/2017;2017;INDL;C;D;STD;USD;30141;279;5805;6275;12683;2940;13003;I
CERNER CORP;12850;CERN;31/12/2017;2017;INDL;C;D;STD;USD;6469,31;362,08;960,54;1541,79;4605,61;866,98;5142,27;I
CF INDUSTRIES HOLDINGS INC;163946;CF;31/12/2017;2017;INDL;C;D;STD;USD;13463;473;220;1077;1287;358;4130;A
CHESAPEAKE ENERGY CORP;27786;CHK;31/12/2017;2017;INDL;C;D;STD;USD;12425;2492;1519;2514;2776;949;9496;A
C H ROBINSON WORLDWIDE INC;65609;CHRW;31/12/2017;2017;INDL;C;D;STD;USD;4235,83;40,12;775,12;868,1;2461,03;504,89;14869,38;A
CIGNA GROUP (THE);2547;CI;31/12/2017;2017;INDL;C;D;STD;USD;61753;471;4369;4935;4935;2237;41616;A
CINCINNATI FINANCIAL CORP;14824;CINF;31/12/2017;2017;INDL;C;D;STD;USD;21843;16;783;811;811;1045;5732;A
COLGATE-PALMOLIVE CO;3170;CL;31/12/2017;2017;INDL;C;D;STD;USD;12676;553;3912;4387;9795;2024;15454;A
CLEVELAND-CLIFFS INC;3107;CLF;31/12/2017;2017;INDL;C;D;STD;USD;2953,4;151,7;406;493,7;594,5;367;2335,3;A
CLOROX CO/DE;3121;CLX;30/06/2017;2017;INDL;C;D;STD;USD;4573;231;1117;1280;2824;701;5973;A
COMERICA INC;3231;CMA;31/12/2017;2017;INDL;C;D;STD;USD;71567;69;1866,5;1987,5;3094;743;3289;A
COMCAST CORP;3226;CMCSA;31/12/2017;2017;INDL;C;D;STD;USD;186949;9968;17795;28062;28062;22714;84526;A
CME GROUP INC;149070;CME;31/12/2017;2017;INDL;C;D;STD;USD;75791,2;81,9;2312;2520,5;2520,5;4063,4;3644,7;A
CHIPOTLE MEXICAN GRILL INC;165914;CMG;31/12/2017;2017;INDL;C;D;STD;USD;2045,69;216,78;314,14;477,49;756,22;176,25;4476,41;A
CUMMINS INC;3650;CMI;31/12/2017;2017;INDL;C;D;STD;USD;18075;506;1936;2515;5657;999;20428;A
CMS ENERGY CORP;3439;CMS;31/12/2017;2017;INDL;C;D;STD;USD;23050;1665;1338;2219;2219;460;6583;A
CENTERPOINT ENERGY INC;5742;CNP;31/12/2017;2017;INDL;C;D;STD;USD;22736;1426;1072;2108;2108;1792;9614;A
CNX RESOURCES CORPORATION;120093;CNX;31/12/2017;2017;INDL;C;D;STD;USD;6931,91;632,85;46,73;458,77;458,77;380,75;1414,95;A
CAPITAL ONE FINANCIAL CORP;30990;COF;31/12/2017;2017;INDL;C;D;STD;USD;365693;1018;7083;7990;7990;1982;30089;A
ROCKWELL COLLINS;144066;COL;30/09/2017;2017;INDL;C;D;STD;USD;17997;240;1296;1626;2685;705;6822;I
CONOCOPHILLIPS;8549;COP;31/12/2017;2017;INDL;C;D;STD;USD;73362;4591;1719;9329;10649;-855;29106;A
COSTCO WHOLESALE CORP;29028;COST;31/08/2017;2017;INDL;C;D;STD;USD;36347;2502;4060;5430;18462;2679;129025;A
CAMPBELL SOUP CO;2663;CPB;31/07/2017;2017;INDL;C;D;STD;USD;7726;338;1677;1995;3362;887;7890;A
SALESFORCE INC;157855;CRM;31/01/2017;2016;INDL;C;D;STD;USD;17584,92;463,96;77,24;708,91;6689,52;179,63;8391,98;A
CISCO SYSTEMS INC;20779;CSCO;31/07/2017;2017;INDL;C;D;STD;USD;129818;964;12739;14692;31918;9609;48005;A
CSX CORP;2574;CSX;31/12/2017;2017;INDL;C;D;STD;USD;35739;2040;3700;5015;5015;5471;11408;A
CINTAS CORP;3062;CTAS;31/05/2017;2016;INDL;C;D;STD;USD;6844,06;273,32;852,92;1047,28;2574,66;480,71;5323,38;A
COGNIZANT TECH SOLUTIONS;111864;CTSH;31/12/2017;2017;INDL;C;D;STD;USD;15221;284;2589;2997;5658;1504;14810;A
CITRIX SYSTEMS INC;61676;CTXS;31/12/2017;2017;INDL;C;D;STD;USD;5820,18;80,9;662,03;814;2537,87;-20,72;2824,69;I
CVS HEALTH CORP;7241;CVS;31/12/2017;2017;INDL;C;D;STD;USD;95131;1918;10044;12523;31026;6622;184765;A
CHEVRON CORP;2991;CVX;31/12/2017;2017;INDL;C;D;STD;USD;253806;13404;2480;21829;27141;9195;127485;A
DOMINION ENERGY INC;4029;D;31/12/2017;2017;INDL;C;D;STD;USD;76585;5504;4124;6029;6029;2999;12586;A
DUPONT DE NEMOURS INC;4060;DD;31/12/2017;2017;INDL;C;D;STD;USD;192164;3570;7352;11207;17325;1460;62484;A
DEERE & CO;3835;DE;31/10/2017;2017;INDL;C;D;STD;USD;65786,3;2592,3;2861,3;4576,8;8940,1;2159,1;28444,7;A
DELL TECHNOLOGIES INC;14489;DELL;31/01/2017;2016;INDL;C;D;STD;USD;118206;699;-1764;3075;15813;-1672;61642;A
DISCOVER FINANCIAL SVCS;177376;DFS;31/12/2017;2017;INDL;C;D;STD;USD;100087;218;4355;4485;4485;2099;11545;A
QUEST DIAGNOSTICS INC;64166;DGX;31/12/2017;2017;INDL;C;D;STD;USD;10503;252;1281;1551;3236;772;7709;A
D R HORTON INC;25340;DHI;30/09/2017;2017;INDL;C;D;STD;USD;12184,6;157,3;1591,1;1640,5;3112,1;1038,4;14105,5;A
DANAHER CORP;3735;DHR;31/12/2017;2017;INDL;C;D;STD;USD;46648,6;619,6;3180,3;4418,6;11468,8;2492,1;18329,7;A
DISNEY (WALT) CO;3980;DIS;30/09/2017;2017;INDL;C;D;STD;USD;95789;3623;13873;16655;24831;8980;55137;A
DOLLAR TREE INC;31587;DLTR;31/01/2017;2016;INDL;C;D;STD;USD;15701,6;564,7;1704,8;2342,3;7032,2;896,2;20719,2;A
DUN & BRADSTREET HOLDNGS INC;4094;DNB;31/12/2017;2017;INDL;C;D;STD;USD;2480,9;8,4;423;502,7;1167,8;140,9;1742,5;A
DIAMOND OFFSHRE DRILLING INC;61409;DO;31/12/2017;2017;INDL;C;D;STD;USD;6250,57;139,58;226,84;575,53;650,04;18,35;1485,75;A
DOVER CORP;4058;DOV;31/12/2017;2017;INDL;C;D;STD;USD;10657,65;196,74;986,94;1381,18;3300,41;811,67;7830,44;A
DOW INC;34443;DOW;31/12/2017;2017;INDL;C;D;STD;USD;79940;3331;5999;9044;13621;466;55508;A
DR PEPPER SNAPPLE GROUP INC;179700;DPS;31/12/2017;2017;INDL;C;D;STD;USD;10022;202;1360;1565;4098;1076;6690;I
DARDEN RESTAURANTS INC;31846;DRI;31/05/2017;2016;INDL;C;D;STD;USD;5504,2;293;705,3;980;1571,2;479,1;7170,2;A
DTE ENERGY CO;3897;DTE;31/12/2017;2017;INDL;C;D;STD;USD;33767;2250;1646;2676;2676;1134;12607;A
DUKE ENERGY CORP;4093;DUK;31/12/2017;2017;INDL;C;D;STD;USD;137914;8052;6129;9656;9656;3059;23565;A
DAVITA INC;61483;DVA;31/12/2017;2017;INDL;C;D;STD;USD;18948,19;905,25;1633,38;2193,29;3236,63;663,62;10876,63;A
DEVON ENERGY CORP;14934;DVN;31/12/2017;2017;INDL;C;D;STD;USD;30241;2805;1008;3361;4396;898;13949;A
ELECTRONIC ARTS INC;16721;EA;31/03/2017;2016;INDL;C;D;STD;USD;7718;123;1224;1388;3705;967;4845;A
EBAY INC;114524;EBAY;31/12/2017;2017;INDL;C;D;STD;USD;25981;666;2265;2941;7983;-1016;9567;A
ECOLAB INC;4213;ECL;31/12/2017;2017;INDL;C;D;STD;USD;19962,4;868,6;2060,1;2953,4;7370,5;1508,4;13838,3;A
CONSOLIDATED EDISON INC;3413;ED;31/12/2017;2017;INDL;C;D;STD;USD;48111;3028;2609;3950;3950;1525;12033;A
EQUIFAX INC;4423;EFX;31/12/2017;2017;INDL;C;D;STD;USD;7233,4;218,2;950,3;1238,1;2165,7;587,3;3362,2;A
EDISON INTERNATIONAL;9846;EIX;31/12/2017;2017;INDL;C;D;STD;USD;52580;3828;2209;4250;4250;689;12320;A
ESTEE LAUDER COMPANIES INC;61567;EL;30/06/2017;2017;INDL;C;D;STD;USD;11568;504;1889;2352;9867;1249;11826;A
EASTMAN CHEMICAL CO;29392;EMN;31/12/2017;2017;INDL;C;D;STD;USD;15999;649;1652;2236;3150;1384;9549;A
EMERSON ELECTRIC CO;4321;EMR;30/09/2017;2017;INDL;C;D;STD;USD;19589;476;2724;3360;6978;1518;15264;A
EOG RESOURCES INC;16478;EOG;31/12/2017;2017;INDL;C;D;STD;USD;29833,08;4124,24;987,89;4608,52;8523,17;2582,58;11225,81;A
EQUITY RESIDENTIAL;28733;EQR;31/12/2017;2017;INDL;C;D;STD;USD;20570,6;1,51;850,24;;902,46;603,45;2474,17;A
EQT CORP;4430;EQT;31/12/2017;2017;INDL;C;D;STD;USD;29522,6;1939,2;1178,26;2266,76;2266,76;1508,53;3378,02;A
EXPRESS SCRIPTS HOLDING CO;25356;ESRX;31/12/2017;2017;INDL;C;D;STD;USD;54255,8;267,4;5628,7;7208,1;8896,4;4517,4;100064,6;I
E TRADE FINANCIAL CORP;63501;ETFC;31/12/2017;2017;INDL;C;D;STD;USD;63365;102;1225;1343;1343;614;2450;I
EATON CORP PLC;4199;ETN;31/12/2017;2017;INDL;C;D;STD;USD;32623;520;2503;3362;7507;2985;20404;A
ENTERGY CORP;7366;ETR;31/12/2017;2017;INDL;C;D;STD;USD;46707,15;3905,62;1781,78;3577,45;3577,45;425,35;11074,48;A
EDWARDS LIFESCIENCES CORP;133366;EW;31/12/2017;2017;INDL;C;D;STD;USD;5695,8;168,1;1097;1178,9;2641,9;583,6;3435,3;A
EXELON CORP;8539;EXC;31/12/2017;2017;INDL;C;D;STD;USD;116700;7584;3701;7529;7529;3770;33531;A
EXPEDITORS INTL WASH INC;4494;EXPD;31/12/2017;2017;INDL;C;D;STD;USD;3117,01;95,02;690,26;739,57;932,34;489,35;6920,95;A
EXPEDIA GROUP INC;126296;EXPE;31/12/2017;2017;INDL;C;D;STD;USD;18515,63;710,33;667,29;1556,83;8402,8;377,96;10059,84;A
FORD MOTOR CO;4839;F;31/12/2017;2017;INDL;C;D;STD;USD;257808;7049;8044;17166;30431;7602;156776;A
FASTENAL CO;14225;FAST;31/12/2017;2017;INDL;C;D;STD;USD;2910,5;119,9;880,8;1008,2;2291;578,6;4390,5;A
FREEPORT-MCMORAN INC;14590;FCX;31/12/2017;2017;INDL;C;D;STD;USD;37302;1410;3877;5974;6530;1817;16403;A
FEDEX CORP;4598;FDX;31/05/2017;2016;INDL;C;D;STD;USD;48552;5116;5425;8420;16784;2997;60319;A
FIRSTENERGY CORP;8099;FE;31/12/2017;2017;INDL;C;D;STD;USD;42257;2841;2891;4337;4337;-1724;14012;A
F5 INC;121077;FFIV;30/09/2017;2017;INDL;C;D;STD;USD;2480,8;38,68;577,07;633,94;1790,53;420,76;2090,04;A
FIRST HORIZON CORP;4737;FHN;31/12/2017;2017;INDL;C;D;STD;USD;41423,39;53,05;676,45;719,88;1346,86;165,52;1494,48;A
FIDELITY NATIONAL INFO SVCS;165993;FIS;31/12/2017;2017;INDL;C;D;STD;USD;24517;145;1672;2967;4237;1319;9123;A
FIFTH THIRD BANCORP;4640;FITB;31/12/2017;2017;INDL;C;D;STD;USD;142193;231;3087;3323;5724;2194;6676;A
FLIR SYSTEMS INC;28477;FLIR;31/12/2017;2017;INDL;C;D;STD;USD;2810,03;42,11;336,09;405,89;934,96;107,22;1800,43;I
FLUOR CORP;4818;FLR;31/12/2017;2017;INDL;C;D;STD;USD;9327,69;283,11;440,3;665,57;843,76;191,38;19520,97;A
FLOWSERVE CORP;4108;FLS;31/12/2017;2017;INDL;C;D;STD;USD;4910,47;61,6;303,49;420,26;1263,01;2,65;3660,83;A
FMC CORP;4510;FMC;31/12/2017;2017;INDL;C;D;STD;USD;9206,3;85,7;491,6;584,7;1214,6;535,8;2878,6;A
FOSSIL GROUP INC;28118;FOSL;31/12/2017;2017;INDL;C;D;STD;USD;1658,37;25,52;31,02;112;1439,81;-478,17;2788,16;A
FIRST SOLAR INC;175404;FSLR;31/12/2017;2017;INDL;C;D;STD;USD;6864,5;514,36;215,03;334,53;668,45;-165,62;2941,32;A
TECHNIPFMC PLC;30923;FTI;31/12/2017;2017;INDL;C;D;STD;USD;28263,7;255,7;1258,5;1873,2;3147;113,3;15056,9;A
GANNETT CO INC;19574;GCI;31/12/2017;2017;INDL;C;D;STD;USD;1283,55;11,09;79,86;151,83;599,18;-0,92;1342;A
GENERAL DYNAMICS CORP;5046;GD;31/12/2017;2017;INDL;C;D;STD;USD;35046;428;4177;4618;6628;2912;30973;A
GE AEROSPACE;5047;GE;31/12/2017;2017;INDL;C;D;STD;USD;377945;7371;10653;18012;35625;-5774;120468;A
GILEAD SCIENCES INC;24856;GILD;31/12/2017;2017;INDL;C;D;STD;USD;70283;590;14448;15593;22881;4628;26107;A
GENERAL MILLS INC;5071;GIS;31/05/2017;2016;INDL;C;D;STD;USD;21812,6;684,4;2847,9;3451,5;6252,8;1657,5;15619,8;A
CORNING INC;3532;GLW;31/12/2017;2017;INDL;C;D;STD;USD;27494;1804;1689;2847;5147;-497;10116;A
GAMESTOP CORP;145049;GME;31/01/2017;2016;INDL;C;D;STD;USD;4975,9;142,7;572,1;738,8;3010,8;353,2;8607,9;A
GENWORTH FINANCIAL INC;158354;GNW;31/12/2017;2017;INDL;C;D;STD;USD;105297;0;1015;1108;1108;817;8295;A
GENUINE PARTS CO;5125;GPC;31/12/2017;2017;INDL;C;D;STD;USD;12412,38;156,76;1068,74;1236,43;4912;616,76;16308,8;A
GAP INC;4990;GPS;31/01/2017;2016;INDL;C;D;STD;USD;7610;524;1332;1931;6239;676;15516;A
GOLDMAN SACHS GROUP INC;114628;GS;31/12/2017;2017;INDL;C;D;STD;USD;916776;3185;19933;21085;21085;4286;42911;A
GOODYEAR TIRE & RUBBER CO;5234;GT;31/12/2017;2017;INDL;C;D;STD;USD;17064;881;1396;2136;4438;346;15377;A
GRAINGER (W W) INC;5256;GWW;31/12/2017;2017;INDL;C;D;STD;USD;5804,25;237,28;1160,31;1419,31;4267,56;585,73;10424,86;A
HALLIBURTON CO;5439;HAL;31/12/2017;2017;INDL;C;D;STD;USD;25085;1373;2009;3565;3821;-463;20620;A
HASBRO INC;5518;HAS;31/12/2017;2017;INDL;C;D;STD;USD;5289,98;134,88;810,36;982,2;2877,82;396,61;5209,78;A
HUNTINGTON BANCSHARES;5786;HBAN;31/12/2017;2017;INDL;C;D;STD;USD;104185;194;1788;2201;4108;1186;4740;A
HOME DEPOT INC;5680;HD;31/01/2017;2016;INDL;C;D;STD;USD;42966;1621;13464;15218;32313;7957;94595;A
HESS CORP;1380;HES;31/12/2017;2017;INDL;C;D;STD;USD;23112;1937;-5392;-2185;-1568;-4074;5466;A
