Company Name;Ticker;Year;ACSIZE;ACINDMEMB;ACFINMEMB;ACIND;ACFIN;BODSIZE;BODINDMEMB;BODIND;B/M;CapEx
ALCOA CORP;AA;2017;5;5;5;1;1;12;12;1;0,48;405
ABBOTT LABORATORIES;ABT;2017;5;3;1;0,6;0,2;13;10;0,7692;0,33;1135
ARCHER-DANIELS-MIDLAND CO;ADM;2017;5;5;1;1;0,2;13;12;0,9231;0,87;1049
AMERICAN ELECTRIC POWER CO;AEP;2017;6;6;6;1;1;12;11;0,9167;0,7;5799,3
AETNA INC;AET;2017;5;3;4;0,6;0,8;12;7;0,5833;0,26;410
AMERICAN INTERNATIONAL GROUP;AIG;2017;6;6;4;1;0,666666667;14;14;1;1,22;0
ASSURANT INC;AIZ;2017;4;3;4;0,75;1;11;7;0,6364;0,81;62,1
AKAMAI TECHNOLOGIES INC;AKAM;2017;6;5;1;0,833333333;0,166666667;9;7;0,7778;0,3;414,78
ALLSTATE CORP;ALL;2017;4;4;3;1;0,75;11;11;1;0,58;299
AMERIPRISE FINANCIAL INC;AMP;2017;3;3;2;1;0,666666667;9;6;0,6667;0,24;162
AMAZON.COM INC;AMZN;2017;3;3;3;1;1;10;10;1;0,05;11955
AUTONATION INC;AN;2017;5;4;2;0,8;0,4;9;7;0,7778;0,52;313,4
APA CORP;APA;2017;5;3;5;0,6;1;10;8;0,8;0,49;2760
AMPHENOL CORP;APH;2017;4;3;2;0,75;0,5;7;5;0,7143;0,16;226,6
ATI INC -NEW;ATI;2017;4;3;1;0,75;0,25;10;5;0,5;0,58;122,7
BOEING CO;BA;2017;9;9;6;1;0,666666667;14;13;0,9286;0,01;1739
BANK OF AMERICA CORP;BAC;2017;6;6;6;1;1;13;12;0,9231;0,81;0
BAXTER INTERNATIONAL INC;BAX;2017;6;4;5;0,666666667;0,833333333;12;6;0,5;0,27;634
BIOGEN INC;BIIB;2017;4;0;3;0;0,75;10;2;0,2;0,19;867,4
BANK OF NEW YORK MELLON CORP;BK;2017;6;6;3;1;0,5;13;11;0,8462;0,75;1197
BLACKROCK INC;BLK;2017;7;5;7;0,714285714;1;17;10;0,5882;0,43;155
BRISTOL-MYERS SQUIBB CO;BMY;2017;7;7;6;1;0,857142857;12;12;1;0,12;1055
BOSTON SCIENTIFIC CORP;BSX;2017;5;5;5;1;1;10;10;1;0,21;319
PEABODY ENERGY CORP;BTU;2017;3;3;3;1;1;9;9;1;0,73;199,4
BORGWARNER INC;BWA;2017;6;6;4;1;0,666666667;11;11;1;0,35;560
CITIGROUP INC;C;2017;6;6;4;1;0,666666667;17;17;1;0,95;3361
CATERPILLAR INC;CAT;2017;4;3;4;0,75;1;13;9;0,6923;0,15;2336
CERNER CORP;CERN;2017;6;4;1;0,666666667;0,166666667;8;5;0,625;0,23;362,08
CF INDUSTRIES HOLDINGS INC;CF;2017;6;3;5;0,5;0,833333333;11;5;0,4545;0,47;473
C H ROBINSON WORLDWIDE INC;CHRW;2017;6;5;6;0,833333333;1;8;7;0,875;0,12;40,12
CIGNA GROUP (THE);CI;2017;5;5;3;1;0,6;11;11;1;0,28;471
CINCINNATI FINANCIAL CORP;CINF;2017;9;5;4;0,555555556;0,444444444;15;8;0,5333;0,73;16
COMERICA INC;CMA;2017;5;3;2;0,6;0,4;11;6;0,5455;0,53;69
CME GROUP INC;CME;2017;6;1;3;0,166666667;0,5;23;10;0,4348;0,55;81,9
CHIPOTLE MEXICAN GRILL INC;CMG;2017;6;5;1;0,833333333;0,166666667;10;9;0,9;0,17;216,78
CUMMINS INC;CMI;2017;8;7;2;0,875;0,25;11;9;0,8182;0,26;506
