Company Name;Global Company Key;PERMNO;CUSIP;Ticker;Fiscal year end;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT;BODMEMB;INDBODMEMB;INDBODMEMBPRCNT;B/M;ROA;ROE;ROCE;D/A;D/E;TotAsset;CapEx;EBIT;EBI;GrossProfit;NI;Sales/Turnover (Net)
ALCOA CORP;27638;16347;01387210;AA;2017;5;5;5;1;1;12;12;1;0,48;0,14;0,04;0,24;0,61;2,35;17447;405;1569;2319;2635;217;11652
ABBOTT LABORATORIES;1078;20482;00282410;ABT;2017;5;3;1;0,6;0,2;13;10;0,7692;0,33;0,11;0,01;0,08;0,59;1,46;76250;1135;3996;7017;17277;477;27390
ARCHER-DANIELS-MIDLAND CO;1722;10516;03948310;ADM;2017;5;5;1;1;0,2;13;12;0,9231;0,87;0,06;0,08;0,06;0,54;1,18;39963;1049;1513;2437;4430;1595;60828
AMERICAN ELECTRIC POWER CO;1440;24109;02553710;AEP;2017;6;6;6;1;1;12;11;0,9167;0,7;0,08;0,07;0,08;0,72;2,54;64729,1;5799,3;3431,2;5428,4;5428,4;1912,6;15424,9
AETNA INC;1177;88845;00817Y10;AET;2017;5;3;4;0,6;0,8;12;7;0,5833;0,26;0,09;0,11;0,16;0,71;2,52;55151;410;5038;5428;15819;1904;60447
AMERICAN INTERNATIONAL GROUP;1487;66800;02687478;AIG;2017;6;6;4;1;0,666666667;14;14;1;1,22;0,01;-0,09;0,02;0,87;6,64;498301;0;2518;6392;6392;-6084;49004
ASSURANT INC;157057;90038;04621X10;AIZ;2017;4;3;4;0,75;1;11;7;0,6364;0,81;0,02;0,12;0,09;0,87;6,45;31843;62,1;514,2;628,9;628,9;519,6;6415
AKAMAI TECHNOLOGIES INC;125595;87299;00971T10;AKAM;2017;6;5;1;0,833333333;0,166666667;9;7;0,7778;0,3;0,17;0,07;0,1;0,28;0,39;4602,84;414,78;378,08;750,39;1892,52;218,32;2503
ALLSTATE CORP;28349;79323;02000210;ALL;2017;4;4;3;1;0,75;11;11;1;0,58;0,04;0,16;0,15;0,8;3,97;112422;299;3972;4367;4367;3189;37834
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;2017;3;3;2;1;0,666666667;9;6;0,6667;0,24;0,02;0,24;0,22;0,96;23,59;147470;162;2515;2683;5691;1480;12126
AMAZON.COM INC;64768;84788;02313510;AMZN;2017;3;3;3;1;1;10;10;1;0,05;0,12;0,13;0,07;0,79;3,74;131310;11955;3954;13151;74763;3033;177866
AUTONATION INC;9063;76282;05329W10;AN;2017;5;4;2;0,8;0,4;9;7;0,7778;0,52;0,09;0,18;0,09;0,77;3,34;10271,5;313,4;767,2;925,8;3359;434,6;21534,6
APA CORP;1678;39490;03741110;APA;2017;5;3;5;0,6;1;10;8;0,8;0,49;0,15;0,16;0,04;0,6;1,77;21922;2760;668;3324;4022;1304;5752
AMPHENOL CORP;14282;84769;03209510;APH;2017;4;3;2;0,75;0,5;7;5;0,7143;0,16;0,18;0,16;0,2;0,6;1,49;10003,9;226,6;1431,6;1653,2;2531,5;650,5;7011,3
